n_reactions,batch_size,path,trial,total_time_s
1000,50,python,0,0.7348256576806307
1000,50,cuik,0,0.08843041583895683
1000,50,python,1,0.7227496672421694
1000,50,cuik,1,0.08623217418789864
1000,50,python,2,0.7197386864572763
1000,50,cuik,2,0.0869161318987608
1000,50,python,3,0.722403472289443
1000,50,cuik,3,0.0869036503136158
1000,50,python,4,0.72220772318542
1000,50,cuik,4,0.0869956947863102
5000,50,python,0,3.6627823524177074
5000,50,cuik,0,0.43635099567472935
5000,50,python,1,3.6229975540190935
5000,50,cuik,1,0.4291651267558336
5000,50,python,2,3.5858785938471556
5000,50,cuik,2,0.4318470247089863
5000,50,python,3,3.5958224050700665
5000,50,cuik,3,0.43736190162599087
5000,50,python,4,3.5814134385436773
5000,50,cuik,4,0.43103524670004845
10000,50,python,0,7.182289469987154
10000,50,cuik,0,0.8601825293153524
10000,50,python,1,7.215907892212272
10000,50,cuik,1,0.8938745409250259
10000,50,python,2,7.172044636681676
10000,50,cuik,2,0.8597637079656124
10000,50,python,3,7.176022036001086
10000,50,cuik,3,0.8600580748170614
10000,50,python,4,7.198000676929951
10000,50,cuik,4,0.8593965321779251
50000,50,python,0,35.83395040221512
50000,50,cuik,0,4.297157056629658
50000,50,python,1,35.7487973626703
50000,50,cuik,1,4.297943014651537
50000,50,python,2,35.74570641666651
50000,50,cuik,2,4.356434006243944
50000,50,python,3,35.91861168667674
50000,50,cuik,3,5.4240915440022945
50000,50,python,4,44.09446603991091
50000,50,cuik,4,4.291754076257348
100000,50,python,0,79.75056836009026
100000,50,cuik,0,8.597937751561403
100000,50,python,1,89.786278270185
100000,50,cuik,1,8.587008224800229
100000,50,python,2,85.0004364028573
100000,50,cuik,2,12.008273577317595
100000,50,python,3,78.41105619817972
100000,50,cuik,3,8.736860452219844
100000,50,python,4,78.47777445614338
100000,50,cuik,4,12.017357848584652
