n_reactions,batch_size,path,trial,total_time_s
1000,50,python,0,0.6814519762992859
1000,50,cuik,0,0.07307042740285397
1000,50,python,1,0.666925759986043
1000,50,cuik,1,0.07321550231426954
1000,50,python,2,0.6804731115698814
1000,50,cuik,2,0.07214936707168818
10000,50,python,0,6.689041859470308
10000,50,cuik,0,0.721242886967957
10000,50,python,1,6.81906596198678
10000,50,cuik,1,0.724449492059648
10000,50,python,2,6.785612425766885
10000,50,cuik,2,0.751237515360117
100000,50,python,0,67.56270144600421
100000,50,cuik,0,7.189841483719647
100000,50,python,1,67.56136308331043
100000,50,cuik,1,7.511799088679254
100000,50,python,2,67.79568015318364
100000,50,cuik,2,7.210162278264761
