batch_size,path,trial,time_per_rxn_us
1,python,0,905.970111489296
1,cuik,0,111.23251169919968
1,python,1,595.6683307886124
1,cuik,1,83.28910917043686
1,python,2,601.448118686676
1,cuik,2,81.71610534191132
1,python,3,1013.9262303709984
1,cuik,3,137.66251504421234
1,python,4,999.9088943004608
1,cuik,4,139.96660709381104
1,python,5,713.9025256037712
1,cuik,5,90.88404476642609
1,python,6,699.2053240537643
1,cuik,6,88.43932300806046
1,python,7,685.8203560113907
1,cuik,7,96.84544056653976
1,python,8,688.2138550281525
1,cuik,8,93.2076945900917
1,python,9,719.2725315690041
1,cuik,9,98.72857481241226
1,python,10,708.8128477334976
1,cuik,10,96.18327021598816
1,python,11,748.0587810277939
1,cuik,11,106.50232434272766
1,python,12,747.3668083548546
1,cuik,12,117.06352233886719
1,python,13,970.4027324914932
1,cuik,13,123.40489774942398
1,python,14,957.118347287178
1,cuik,14,119.6879893541336
1,python,15,593.4741348028183
1,cuik,15,85.64349263906479
1,python,16,593.302771449089
1,cuik,16,87.36643940210342
1,python,17,791.6819304227829
1,cuik,17,105.98264634609222
1,python,18,774.158164858818
1,cuik,18,103.12628000974655
1,python,19,660.2611392736435
1,cuik,19,89.04002606868744
10,python,0,693.931058049202
10,cuik,0,75.40984079241753
10,python,1,699.5227187871933
10,cuik,1,78.69424298405647
10,python,2,668.3873012661934
10,cuik,2,74.86194372177124
10,python,3,760.0633427500725
10,cuik,3,86.91400289535522
10,python,4,521.6951481997967
10,cuik,4,62.46129050850868
10,python,5,839.8426696658134
10,cuik,5,93.0657610297203
10,python,6,593.0745042860508
10,cuik,6,65.7075084745884
10,python,7,671.3028065860271
10,cuik,7,77.41181179881096
10,python,8,697.4457763135433
10,cuik,8,75.08648559451103
10,python,9,753.5348646342754
10,cuik,9,88.02004158496857
10,python,10,654.4485688209534
10,cuik,10,75.2277672290802
10,python,11,597.3747000098228
10,cuik,11,64.53823298215866
10,python,12,810.5406537652016
10,cuik,12,91.08902886509895
10,python,13,721.9044491648674
10,cuik,13,79.43473756313324
10,python,14,717.6904007792473
10,cuik,14,76.18842646479607
10,python,15,751.5120320022106
10,cuik,15,82.2039321064949
10,python,16,713.9744237065315
10,cuik,16,80.23213595151901
10,python,17,696.5120323002338
10,cuik,17,79.29839193820953
10,python,18,697.4637508392334
10,cuik,18,76.62633433938026
10,python,19,660.0714288651943
10,cuik,19,73.48228245973587
50,python,0,708.4024511277676
50,cuik,0,71.27247750759125
50,python,1,694.0895318984985
50,cuik,1,72.05076515674591
50,python,2,723.2588343322277
50,cuik,2,74.11912083625793
50,python,3,692.690871655941
50,cuik,3,71.30496203899384
50,python,4,655.1187299191952
50,cuik,4,68.61802190542221
50,python,5,750.0028982758522
50,cuik,5,76.83452218770981
50,python,6,683.6858578026295
50,cuik,6,70.48597559332848
50,python,7,699.4349509477615
50,cuik,7,73.5534355044365
50,python,8,672.468263655901
50,cuik,8,70.98972797393799
50,python,9,645.5265916883945
50,cuik,9,74.644535779953
50,python,10,699.0263611078262
50,cuik,10,71.85462862253189
50,python,11,773.3923569321632
50,cuik,11,78.13781499862671
50,python,12,695.7779452204704
50,cuik,12,72.57098332047462
50,python,13,733.608603477478
50,cuik,13,74.80485364794731
50,python,14,654.9017131328583
50,cuik,14,66.92418828606606
50,python,15,654.1348434984684
50,cuik,15,68.88594478368759
50,python,16,718.3566875755787
50,cuik,16,74.83670487999916
50,python,17,666.9755466282368
50,cuik,17,66.56290963292122
50,python,18,685.3041611611843
50,cuik,18,74.05880838632584
50,python,19,723.0324111878872
50,cuik,19,72.53950461745262
100,python,0,719.5520401000977
100,cuik,0,73.29374551773071
100,python,1,688.9488082379103
100,cuik,1,70.86261175572872
100,python,2,682.6452724635601
100,cuik,2,69.65200416743755
100,python,3,738.5449949651957
100,cuik,3,75.11822506785393
100,python,4,709.3432545661926
100,cuik,4,69.60260681807995
100,python,5,680.2168302237988
100,cuik,5,70.07299922406673
100,python,6,675.1443445682526
100,cuik,6,67.49446503818035
100,python,7,684.1402314603329
100,cuik,7,69.32136602699757
100,python,8,717.0369569212198
100,cuik,8,72.2747016698122
100,python,9,690.1024095714092
100,cuik,9,71.13883271813393
100,python,10,695.1656751334667
100,cuik,10,69.78395394980907
100,python,11,656.6641572862864
100,cuik,11,65.83631038665771
100,python,12,653.1518418341875
100,cuik,12,69.20725107192993
100,python,13,719.0184108912945
100,cuik,13,71.30415178835392
100,python,14,651.1320918798447
100,cuik,14,65.1468988507986
100,python,15,685.7156194746494
100,cuik,15,70.55852562189102
100,python,16,728.0846312642097
100,cuik,16,73.40957410633564
100,python,17,696.8547962605953
100,cuik,17,73.94709624350071
100,python,18,751.775847747922
100,cuik,18,78.3129408955574
100,python,19,718.5235526412725
100,cuik,19,72.41265848279
500,python,0,669.9339840561152
500,cuik,0,72.21534661948681
500,python,1,666.763000190258
500,cuik,1,71.83618098497391
500,python,2,669.3645622581244
500,cuik,2,73.08720983564854
500,python,3,699.8061276972294
500,cuik,3,73.97213764488697
500,python,4,719.1239986568689
500,cuik,4,75.73442347347736
500,python,5,680.9226386249065
500,cuik,5,71.56910933554173
500,python,6,685.5566408485174
500,cuik,6,76.50363072752953
500,python,7,674.0585826337337
500,cuik,7,72.90357537567616
500,python,8,669.9031461030245
500,cuik,8,72.8479903191328
500,python,9,677.0452335476875
500,cuik,9,72.16786965727806
500,python,10,699.9731902033091
500,cuik,10,76.04220882058144
500,python,11,674.7701056301594
500,cuik,11,72.11036048829556
500,python,12,680.9784285724163
500,cuik,12,73.51343706250191
500,python,13,695.615615695715
500,cuik,13,76.74450799822807
500,python,14,736.2481076270342
500,cuik,14,77.29866541922092
500,python,15,699.5831374078989
500,cuik,15,74.94485005736351
500,python,16,697.003934532404
500,cuik,16,75.20185969769955
500,python,17,706.2261067330837
500,cuik,17,77.49918475747108
500,python,18,675.2585843205452
500,cuik,18,75.59340819716454
500,python,19,708.126749843359
500,cuik,19,76.1683639138937
1000,python,0,686.0862337052822
1000,cuik,0,81.3314151018858
1000,python,1,694.453620351851
1000,cuik,1,82.22528081387281
1000,python,2,701.6548896208405
1000,cuik,2,81.21888805180788
1000,python,3,684.7001425921917
1000,cuik,3,80.76637238264084
1000,python,4,721.2508916854858
1000,cuik,4,80.5051438510418
1000,python,5,683.5036743432283
1000,cuik,5,80.68362344056368
1000,python,6,681.4080271869898
1000,cuik,6,83.4611039608717
1000,python,7,691.2146601825953
1000,cuik,7,78.04726622998714
1000,python,8,687.4764049425721
1000,cuik,8,80.97438421100378
1000,python,9,671.51506152004
1000,cuik,9,75.68312343209982
1000,python,10,703.6735247820616
1000,cuik,10,81.21485076844692
1000,python,11,710.1913085207343
1000,cuik,11,79.9474399536848
1000,python,12,685.4009451344609
1000,cuik,12,83.09506811201572
1000,python,13,684.0763948857784
1000,cuik,13,77.71580759435892
1000,python,14,679.0941432118416
1000,cuik,14,76.63022447377443
1000,python,15,698.1006991118193
1000,cuik,15,85.927021689713
1000,python,16,683.2621050998569
1000,cuik,16,79.1286313906312
1000,python,17,688.425961881876
1000,cuik,17,83.04032869637012
1000,python,18,691.0293307155371
1000,cuik,18,78.53469625115395
1000,python,19,688.392287120223
1000,cuik,19,78.17976642400026
